Year,Month,anom,i_nino,i_nina,el_nino,la_nina
2005,1,0.56,1,0,1,0
2005,2,0.26,0,0,0,0
2005,3,0.28,0,0,0,0
2005,4,0.28,0,0,0,0
2005,5,0.3,0,0,0,0
2005,6,0.22,0,0,0,0
2005,7,-0.01,0,0,0,0
2005,8,-0.04,0,0,0,0
2005,9,-0.08,0,0,0,0
2005,10,-0.15,0,0,0,0
2005,11,-0.44,0,1,0,0
2005,12,-0.75,0,1,0,0
2006,1,-0.98,0,1,0,0
2006,2,-0.71,0,1,0,0
2006,3,-0.73,0,1,0,0
2006,4,-0.3,0,0,0,0
2006,5,-0.11,0,0,0,0
2006,6,0.09,0,0,0,0
2006,7,0.03,0,0,0,0
2006,8,0.37,0,0,0,0
2006,9,0.63,1,0,0,0
2006,10,0.76,1,0,0,0
2006,11,0.98,1,0,0,0
2006,12,1.1,1,0,0,0
2007,1,0.59,1,0,0,0
2007,2,0.12,0,0,0,0
2007,3,-0.15,0,0,0,0
2007,4,-0.16,0,0,0,0
2007,5,-0.39,0,0,0,0
2007,6,-0.16,0,0,0,0
2007,7,-0.37,0,0,0,0
2007,8,-0.57,0,1,0,1
2007,9,-1.04,0,1,0,1
2007,10,-1.4,0,1,0,1
2007,11,-1.58,0,1,0,1
2007,12,-1.61,0,1,0,1
2008,1,-1.79,0,1,0,1
2008,2,-1.7,0,1,0,1
2008,3,-1.17,0,1,0,1
2008,4,-0.89,0,1,0,1
2008,5,-0.64,0,1,0,1
2008,6,-0.44,0,1,0,1
2008,7,-0.04,0,0,0,0
2008,8,-0.04,0,0,0,0
2008,9,-0.28,0,0,0,0
2008,10,-0.3,0,0,0,0
2008,11,-0.37,0,0,0,0
2008,12,-0.9,0,1,0,0
2009,1,-1,0,1,0,0
2009,2,-0.71,0,1,0,0
2009,3,-0.72,0,1,0,0
2009,4,-0.25,0,0,0,0
2009,5,0.17,0,0,0,0
2009,6,0.49,1,0,1,0
2009,7,0.69,1,0,1,0
2009,8,0.62,1,0,1,0
2009,9,0.68,1,0,1,0
2009,10,0.96,1,0,1,0
2009,11,1.49,1,0,1,0
2009,12,1.81,1,0,1,0
2010,1,1.43,1,0,1,0
