Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
1998,1,3761415.0,,5.14,2043058.0,,5.02,161.6,State,5685300,0.6616036093082159,0.3593579934216312,3.1806930693069306,3.1064356435643563
1998,2,3426512.0,,5.14,1896960.0,,5.15,161.9,State,5685300,0.6026967794135754,0.3336604928499815,3.174799258801729,3.1809759110562075
1998,3,3146232.0,,5.08,1835082.0,,5.03,162.2,State,5685300,0.5533977098833834,0.32277663447839167,3.1319358816276206,3.1011097410604194
1998,4,2759437.0,,4.94,1798990.0,,4.66,162.5,State,5685300,0.48536348125868467,0.3164283327177106,3.0400000000000005,2.867692307692308
1998,5,2368992.0,,4.86,1759855.0,,4.56,162.8,State,5685300,0.41668724605561713,0.3095447909521046,2.9852579852579852,2.800982800982801
1998,6,2083485.0,,4.87,1772900.0,,4.57,163.0,State,5685300,0.36646878792675847,0.3118393048739732,2.9877300613496933,2.8036809815950923
1998,7,2011488.0,,4.89,1784442.0,,4.33,163.2,State,5685300,0.35380507624927443,0.3138694527993246,2.996323529411765,2.653186274509804
1998,8,1829682.0,,4.91,1860954.0,,4.46,163.4,State,5685300,0.32182681652683237,0.32732731781964014,3.004895960832313,2.729498164014688
1998,9,1889682.0,,4.98,1870869.0,,4.68,163.6,State,5685300,0.3323803493219355,0.32907128911403094,3.0440097799511006,2.860635696821516
1998,10,2167819.0,,5.02,1803226.0,,4.99,164.0,State,5685300,0.38130248183912896,0.3171734121330449,3.060975609756097,3.0426829268292686
1998,11,2599720.0,,5.12,1825989.0,,5.12,164.0,State,5685300,0.4572705046347598,0.3211772465832938,3.1219512195121952,3.1219512195121952
1998,12,3317779.0,,5.15,1996096.0,,5.11,163.9,State,5685300,0.5835714913900761,0.351097743302904,3.14215985356925,3.117754728492984
1999,1,3848123.0,,5.2,2094218.0,,5.11,164.3,State,5757400,0.6683786083996248,0.36374370375516724,3.164942178940962,3.1101643335362144
1999,2,3643442.0,,5.2,2066546.0,,5.11,164.5,State,5757400,0.6328276652655712,0.3589373675617466,3.1610942249240126,3.1063829787234045
1999,3,3465639.0,,5.1,1949503.0,,5.01,165.0,State,5757400,0.6019451488519123,0.33860822593531803,3.090909090909091,3.036363636363636
1999,4,2921257.0,,5.0,1947495.0,,4.61,166.2,State,5757400,0.507391704588877,0.33825945739396257,3.008423586040915,2.7737665463297234
